,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
57828,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.628556,-58.486877,150000.0,USD,150000.0,210.0,4.0,,http://www.properati.com.ar/exk6_venta_ph_floresta
57829,2014-04-18,house,Floresta,|Argentina|Capital Federal|Floresta|,-34.631896000000005,-58.49377,200000.0,USD,200000.0,198.0,,,http://www.properati.com.ar/exk7_venta_casa_floresta
57830,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.625796,-58.488013,76000.0,USD,76000.0,50.0,3.0,,http://www.properati.com.ar/exk8_venta_departamento_floresta
57831,2014-04-18,apartment,Villa Luro,|Argentina|Capital Federal|Villa Luro|,-34.633975,-58.500184,85000.0,USD,85000.0,48.0,3.0,,http://www.properati.com.ar/exk9_venta_departamento_villa-luro
57832,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.637715,-58.47759,85000.0,USD,85000.0,52.0,2.0,,http://www.properati.com.ar/exka_venta_departamento_floresta
57833,2014-04-18,PH,Villa Luro,|Argentina|Capital Federal|Villa Luro|,-34.633590999999996,-58.497255,140000.0,USD,140000.0,157.0,3.0,,http://www.properati.com.ar/exkb_venta_ph_villa-luro
57834,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.637890999999996,-58.477056000000005,82000.0,USD,82000.0,43.0,2.0,,http://www.properati.com.ar/exkc_venta_departamento_floresta
57835,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.630866,-58.49474,127000.0,USD,127000.0,,4.0,,http://www.properati.com.ar/exkd_venta_ph_floresta
57836,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.631561,-58.496542000000005,110000.0,USD,110000.0,107.0,3.0,,http://www.properati.com.ar/exke_venta_ph_floresta
57837,2014-04-18,house,Floresta,|Argentina|Capital Federal|Floresta|,-34.624233000000004,-58.488987,200000.0,USD,200000.0,,,,http://www.properati.com.ar/exkf_venta_casa_floresta
57838,2014-04-18,house,Floresta,|Argentina|Capital Federal|Floresta|,-34.622209999999995,-58.489651,350000.0,USD,350000.0,,,,http://www.properati.com.ar/exkg_venta_casa_floresta
57839,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.627716,-58.490252000000005,145000.0,USD,145000.0,,4.0,,http://www.properati.com.ar/exkh_venta_departamento_floresta
57840,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.635784,-58.479312,74000.0,USD,74000.0,49.0,2.0,,http://www.properati.com.ar/exki_venta_departamento_floresta
57841,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.625698,-58.49547,72000.0,USD,72000.0,,2.0,,http://www.properati.com.ar/exkj_venta_ph_floresta
57842,2014-04-18,PH,Villa Real,|Argentina|Capital Federal|Villa Real|,-34.6191,-58.5266,69000.0,USD,69000.0,41.0,1.0,,http://www.properati.com.ar/exkk_venta_ph_villa-real
